A new study created in RDB with name: XGBRegressor_19256
Trial 11 finished with value: 0.07443795994089411 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.1908344179144159, 'subsample': 0.5373264795338532, 'colsample_bytree': 0.1878905835814385, 'learning_rate': 0.3885907841050964, 'reg_alpha': 0.04505663257400045, 'reg_lambda': 9.907070951085458}. Best is trial 11 with value: 0.07443795994089411.
Trial 4 finished with value: 0.019754293025907955 and parameters: {'max_depth': 10, 'min_child_weight': 1, 'gamma': 0.13419759607887072, 'subsample': 0.6319439759171057, 'colsample_bytree': 0.025082224920331964, 'learning_rate': 0.8330538911382198, 'reg_alpha': 5.597603073807454, 'reg_lambda': 0.6465606217016362}. Best is trial 3 with value: 0.6528943113598316.
Trial 9 finished with value: -247775254775.24118 and parameters: {'max_depth': 10, 'min_child_weight': 2, 'gamma': 0.8152456765096145, 'subsample': 0.05958227758535051, 'colsample_bytree': 0.742170957708012, 'learning_rate': 0.6078793933998775, 'reg_alpha': 3.9439095729357234, 'reg_lambda': 0.01684706667085658}. Best is trial 3 with value: 0.6528943113598316.
Trial 5 finished with value: 0.8025976674846556 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.2729372530216325, 'subsample': 0.6752997339633274, 'colsample_bytree': 0.8998389882765622, 'learning_rate': 0.48212855476979777, 'reg_alpha': 8.903004437975513, 'reg_lambda': 1.0462989335797988}. Best is trial 5 with value: 0.8025976674846556.
Trial 12 finished with value: -0.8414668485003367 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.29349720419045533, 'subsample': 0.19421347802434463, 'colsample_bytree': 0.11947343014111589, 'learning_rate': 0.7218467790518133, 'reg_alpha': 0.00014714993209124868, 'reg_lambda': 0.003336874766199596}. Best is trial 5 with value: 0.8025976674846556.
Trial 27 finished with value: 0.38839029779887696 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.9531519823740989, 'subsample': 0.12195922049545294, 'colsample_bytree': 0.5973026901280086, 'learning_rate': 0.0332005476471976, 'reg_alpha': 0.002039696877183398, 'reg_lambda': 0.00015654203104982557}. Best is trial 5 with value: 0.8025976674846556.
Trial 32 finished with value: 0.482450116336826 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.4175023083050511, 'subsample': 0.9557599365373927, 'colsample_bytree': 0.9911519003480925, 'learning_rate': 0.8490155618707207, 'reg_alpha': 0.0026648299681485423, 'reg_lambda': 0.22539263439182378}. Best is trial 5 with value: 0.8025976674846556.
Trial 30 finished with value: -0.7738635736031616 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.41609018203076353, 'subsample': 0.06382922112471978, 'colsample_bytree': 0.033710833977082966, 'learning_rate': 0.004761319834410749, 'reg_alpha': 0.002052144418640569, 'reg_lambda': 0.00011755668666220164}. Best is trial 5 with value: 0.8025976674846556.
Trial 10 finished with value: 0.7506039764985081 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.2425630248170474, 'subsample': 0.9370580746595081, 'colsample_bytree': 0.15489039392513093, 'learning_rate': 0.3513710358569132, 'reg_alpha': 0.001728151802461882, 'reg_lambda': 1.345281595580675}. Best is trial 5 with value: 0.8025976674846556.
Trial 14 finished with value: 0.7130386062545628 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 0.590858012332664, 'subsample': 0.22781522609095028, 'colsample_bytree': 0.6521349979769494, 'learning_rate': 0.21494652702419315, 'reg_alpha': 0.0023271997433579454, 'reg_lambda': 0.002964391854364786}. Best is trial 5 with value: 0.8025976674846556.
Trial 13 finished with value: 0.7732892475711429 and parameters: {'max_depth': 6, 'min_child_weight': 5, 'gamma': 0.6855881428895478, 'subsample': 0.4999427793960106, 'colsample_bytree': 0.5138805700887611, 'learning_rate': 0.5424872128905179, 'reg_alpha': 0.032119322204464264, 'reg_lambda': 0.000669865333491536}. Best is trial 5 with value: 0.8025976674846556.
Trial 19 finished with value: 0.5972349455393733 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.23053197576862872, 'subsample': 0.3698919820616796, 'colsample_bytree': 0.26812624717686695, 'learning_rate': 0.6025860292720663, 'reg_alpha': 5.00026103919899, 'reg_lambda': 0.0002835861133287873}. Best is trial 5 with value: 0.8025976674846556.
Trial 8 finished with value: 0.5661573333040391 and parameters: {'max_depth': 7, 'min_child_weight': 4, 'gamma': 0.8085649882294011, 'subsample': 0.3176336088159678, 'colsample_bytree': 0.23383597578462734, 'learning_rate': 0.544195012794675, 'reg_alpha': 0.012999615997900496, 'reg_lambda': 0.00754650200977498}. Best is trial 5 with value: 0.8025976674846556.
Trial 37 finished with value: 0.3690456953929514 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.8644709140814764, 'subsample': 0.1375182468617282, 'colsample_bytree': 0.5932967232400553, 'learning_rate': 0.08966138981407701, 'reg_alpha': 0.000385298503093198, 'reg_lambda': 0.01952843849331743}. Best is trial 5 with value: 0.8025976674846556.
Trial 23 finished with value: 0.7831279861240344 and parameters: {'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.14255263393564355, 'subsample': 0.4943915603127397, 'colsample_bytree': 0.45989903578663294, 'learning_rate': 0.0455199701217861, 'reg_alpha': 1.0365132626803315, 'reg_lambda': 0.00116021334256186}. Best is trial 5 with value: 0.8025976674846556.
Trial 43 finished with value: -0.04840853144894462 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.8131727804523026, 'subsample': 0.062236709579879035, 'colsample_bytree': 0.8510510846679175, 'learning_rate': 0.24124261499059896, 'reg_alpha': 0.010062412065397236, 'reg_lambda': 7.811470001167264}. Best is trial 5 with value: 0.8025976674846556.
Trial 20 finished with value: 0.8822518656299785 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.8771138821328032, 'subsample': 0.5789147755217227, 'colsample_bytree': 0.6628157499447251, 'learning_rate': 0.6489325712427821, 'reg_alpha': 3.9414625737545452, 'reg_lambda': 0.0001647942674645804}. Best is trial 20 with value: 0.8822518656299785.
Trial 34 finished with value: 0.08665165177265152 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.6147270425028765, 'subsample': 0.8250225326997705, 'colsample_bytree': 0.07008420908387947, 'learning_rate': 0.11953765307386954, 'reg_alpha': 4.771158609928115, 'reg_lambda': 0.12810597368601534}. Best is trial 5 with value: 0.8025976674846556.
Trial 25 finished with value: 0.8291214161554131 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.2802755818884738, 'subsample': 0.3778621847060242, 'colsample_bytree': 0.8439309049216944, 'learning_rate': 0.3567789413765914, 'reg_alpha': 9.256575337053055, 'reg_lambda': 0.28481435876481664}. Best is trial 20 with value: 0.8822518656299785.
Trial 33 finished with value: 0.05079301573650653 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.2818393048697435, 'subsample': 0.5829350914092855, 'colsample_bytree': 0.04743522787949139, 'learning_rate': 0.5634674350601748, 'reg_alpha': 1.393509504532052, 'reg_lambda': 0.04248667808223227}. Best is trial 20 with value: 0.8822518656299785.
Trial 15 finished with value: 0.8802206371121856 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.1935251898609599, 'subsample': 0.5689184646251512, 'colsample_bytree': 0.8473264905199863, 'learning_rate': 0.32150784866697346, 'reg_alpha': 3.970110678593622, 'reg_lambda': 0.0002090285487918187}. Best is trial 20 with value: 0.8822518656299785.
Trial 21 finished with value: 0.8492918225875006 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.7926868810063455, 'subsample': 0.7249102808239196, 'colsample_bytree': 0.3261768372906856, 'learning_rate': 0.1967823885349661, 'reg_alpha': 0.08892149653102845, 'reg_lambda': 0.014466158974670776}. Best is trial 20 with value: 0.8822518656299785.
Trial 35 finished with value: 0.7468577839912078 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.9143984292394286, 'subsample': 0.6492282577580515, 'colsample_bytree': 0.3455191795780541, 'learning_rate': 0.4235461483485137, 'reg_alpha': 0.1444375737001324, 'reg_lambda': 0.20083548956359476}. Best is trial 20 with value: 0.8822518656299785.
Trial 17 finished with value: 0.887397272790873 and parameters: {'max_depth': 10, 'min_child_weight': 1, 'gamma': 0.6466151367941364, 'subsample': 0.3663390837313869, 'colsample_bytree': 0.7049515919554477, 'learning_rate': 0.565590078954007, 'reg_alpha': 1.8249400775174658, 'reg_lambda': 7.456823903691775}. Best is trial 17 with value: 0.887397272790873.
Trial 54 finished with value: 0.09041496216182374 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.6066399425758788, 'subsample': 0.8708434366758312, 'colsample_bytree': 0.5543480939224645, 'learning_rate': 0.7557860588469241, 'reg_alpha': 1.6003733582739301, 'reg_lambda': 0.1157751311241321}. Best is trial 17 with value: 0.887397272790873.
Trial 22 finished with value: 0.9062316073417402 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.1859793253923746, 'subsample': 0.9593748741392256, 'colsample_bytree': 0.672236566571008, 'learning_rate': 0.22042352169420998, 'reg_alpha': 0.0009990656259844437, 'reg_lambda': 0.12657380658683967}. Best is trial 22 with value: 0.9062316073417402.
Trial 42 finished with value: -0.8349518829679108 and parameters: {'max_depth': 9, 'min_child_weight': 5, 'gamma': 0.42667464711060243, 'subsample': 0.12366457475122172, 'colsample_bytree': 0.651530930575683, 'learning_rate': 0.9289584130229264, 'reg_alpha': 0.000560306233788844, 'reg_lambda': 7.724820622478232}. Best is trial 22 with value: 0.9062316073417402.
Trial 45 finished with value: -0.6244530456402754 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.7331056201107453, 'subsample': 0.07575104387362186, 'colsample_bytree': 0.6718063066672895, 'learning_rate': 0.39857699949982195, 'reg_alpha': 0.0020033923028797175, 'reg_lambda': 0.3643857262311097}. Best is trial 22 with value: 0.9062316073417402.
Trial 50 finished with value: 0.43908820916045654 and parameters: {'max_depth': 2, 'min_child_weight': 3, 'gamma': 0.013034735663727592, 'subsample': 0.28232920930341054, 'colsample_bytree': 0.976429926947621, 'learning_rate': 0.11032366215752143, 'reg_alpha': 0.03311338983296129, 'reg_lambda': 0.003284438334067273}. Best is trial 22 with value: 0.9062316073417402.
Trial 38 finished with value: 0.6150419078947482 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'gamma': 0.6347977786699733, 'subsample': 0.3686423243417578, 'colsample_bytree': 0.21572670533416693, 'learning_rate': 0.47142062730568446, 'reg_alpha': 0.0003374624135396906, 'reg_lambda': 8.38820634597109}. Best is trial 22 with value: 0.9062316073417402.
Trial 39 finished with value: 0.7657631102049323 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.022848447826648965, 'subsample': 0.719793733374285, 'colsample_bytree': 0.4920049963589471, 'learning_rate': 0.703905551161115, 'reg_alpha': 0.030366124470982126, 'reg_lambda': 0.013138961381700974}. Best is trial 22 with value: 0.9062316073417402.
Trial 44 finished with value: 0.48958509489831453 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.5815278769744929, 'subsample': 0.960181783390072, 'colsample_bytree': 0.12255380419898532, 'learning_rate': 0.6374032855284055, 'reg_alpha': 8.928475050870615, 'reg_lambda': 0.019088332379437013}. Best is trial 22 with value: 0.9062316073417402.
Trial 52 finished with value: 0.052462399067231644 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.2807881557313522, 'subsample': 0.5350648234800823, 'colsample_bytree': 0.03671046500948105, 'learning_rate': 0.48128190641401725, 'reg_alpha': 0.6913893202986975, 'reg_lambda': 0.1472878711379897}. Best is trial 22 with value: 0.9062316073417402.
Trial 40 finished with value: 0.5226435562720894 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.9497720260072522, 'subsample': 0.21164216879314202, 'colsample_bytree': 0.3135307310127803, 'learning_rate': 0.12457123096066591, 'reg_alpha': 0.016586963905670535, 'reg_lambda': 4.762005116794204}. Best is trial 22 with value: 0.9062316073417402.
Trial 36 finished with value: -1224974217.1358774 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.7207836180143136, 'subsample': 0.14205324520212104, 'colsample_bytree': 0.5991737383990887, 'learning_rate': 0.7807212241248965, 'reg_alpha': 0.00021766299499223216, 'reg_lambda': 0.056474979364685936}. Best is trial 22 with value: 0.9062316073417402.
Trial 41 finished with value: -0.21908087098338622 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.043790627214514766, 'subsample': 0.22183580947387194, 'colsample_bytree': 0.11379234058524934, 'learning_rate': 0.6834621356600327, 'reg_alpha': 0.13718985770746306, 'reg_lambda': 0.049592452174950806}. Best is trial 22 with value: 0.9062316073417402.
Trial 59 finished with value: 0.45183610797177376 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.38408881235284575, 'subsample': 0.8209468717751328, 'colsample_bytree': 0.14277297245574794, 'learning_rate': 0.3767709743440696, 'reg_alpha': 0.0005764194196810593, 'reg_lambda': 0.1780904210539533}. Best is trial 22 with value: 0.9062316073417402.
Trial 48 finished with value: 0.07637088602027485 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.626854632131579, 'subsample': 0.5008682120690464, 'colsample_bytree': 0.025186431665199294, 'learning_rate': 0.20184998711162516, 'reg_alpha': 0.0010403396964214736, 'reg_lambda': 0.00020768026155354005}. Best is trial 22 with value: 0.9062316073417402.
Trial 31 finished with value: 0.8963924099611225 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.59032377485854, 'subsample': 0.9657678916767714, 'colsample_bytree': 0.9293063445897672, 'learning_rate': 0.6868384455149769, 'reg_alpha': 1.136776115927001, 'reg_lambda': 0.07030063527758093}. Best is trial 22 with value: 0.9062316073417402.
Trial 65 finished with value: 0.08155427701857985 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.7165382051695592, 'subsample': 0.9884110464344775, 'colsample_bytree': 0.21799130387895505, 'learning_rate': 0.005614109085629426, 'reg_alpha': 7.871634585322772, 'reg_lambda': 1.7008752915309602}. Best is trial 22 with value: 0.9062316073417402.
Trial 70 finished with value: -0.11108301932014965 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.6094704784775131, 'subsample': 0.05791658921528142, 'colsample_bytree': 0.5811722488786639, 'learning_rate': 0.3252619201206429, 'reg_alpha': 0.014861884545242354, 'reg_lambda': 0.0025646320498419833}. Best is trial 22 with value: 0.9062316073417402.
Trial 62 finished with value: -1.2530984697100608e+18 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.8259376046299195, 'subsample': 0.02834368136915122, 'colsample_bytree': 0.7746600896734142, 'learning_rate': 0.7273687296417727, 'reg_alpha': 0.20360815018262857, 'reg_lambda': 0.08162867029268876}. Best is trial 22 with value: 0.9062316073417402.
Trial 61 finished with value: 0.09677446205235435 and parameters: {'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.6576406479947564, 'subsample': 0.38006255698761815, 'colsample_bytree': 0.3915006317706824, 'learning_rate': 0.8995686062108268, 'reg_alpha': 0.0028230089435540597, 'reg_lambda': 0.2610422429330694}. Best is trial 22 with value: 0.9062316073417402.
Trial 64 finished with value: 0.7486188936409548 and parameters: {'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.8841804234747161, 'subsample': 0.8826099152632817, 'colsample_bytree': 0.7652852216956871, 'learning_rate': 0.9750409579183118, 'reg_alpha': 0.1112234907127425, 'reg_lambda': 0.0002368040308070351}. Best is trial 22 with value: 0.9062316073417402.
Trial 53 finished with value: 0.4883095713560354 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 0.47507387905153275, 'subsample': 0.5654616800159946, 'colsample_bytree': 0.10578910150031151, 'learning_rate': 0.16259632466652119, 'reg_alpha': 0.08729937336440999, 'reg_lambda': 0.0005774692838878096}. Best is trial 22 with value: 0.9062316073417402.
Trial 66 finished with value: 0.6432599812000097 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.9220740836733898, 'subsample': 0.7005808988049534, 'colsample_bytree': 0.5074528874345381, 'learning_rate': 0.9230402189894915, 'reg_alpha': 0.001320678266664525, 'reg_lambda': 0.001479382313089576}. Best is trial 22 with value: 0.9062316073417402.
Trial 74 finished with value: 0.09044807430854204 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.4446892706023464, 'subsample': 0.7739585754810853, 'colsample_bytree': 0.9088965936397484, 'learning_rate': 0.42005595160066656, 'reg_alpha': 0.041470405011751046, 'reg_lambda': 1.3235420456664866}. Best is trial 22 with value: 0.9062316073417402.
Trial 29 finished with value: 0.8244086136311518 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.45394109177649034, 'subsample': 0.6412789908937214, 'colsample_bytree': 0.9613361288743326, 'learning_rate': 0.7848241899339885, 'reg_alpha': 0.026707382341981164, 'reg_lambda': 0.050622091864831686}. Best is trial 22 with value: 0.9062316073417402.
Trial 55 finished with value: 0.8415701476697129 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.034145207076132444, 'subsample': 0.8639886042981584, 'colsample_bytree': 0.33124494353501943, 'learning_rate': 0.09063337516720948, 'reg_alpha': 6.1805276764522015, 'reg_lambda': 0.010789810989533691}. Best is trial 22 with value: 0.9062316073417402.
Trial 63 finished with value: -73877.90839973513 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.7835160465864297, 'subsample': 0.14937460778908618, 'colsample_bytree': 0.6343783958810874, 'learning_rate': 0.7849325905478651, 'reg_alpha': 0.02946289582353901, 'reg_lambda': 0.000687357350125382}. Best is trial 22 with value: 0.9062316073417402.
Trial 67 finished with value: 0.4061690259642865 and parameters: {'max_depth': 10, 'min_child_weight': 3, 'gamma': 0.5218277716433825, 'subsample': 0.13370568629840485, 'colsample_bytree': 0.13859540703515882, 'learning_rate': 0.07434250908669993, 'reg_alpha': 6.90769336217011, 'reg_lambda': 0.9437858801270651}. Best is trial 22 with value: 0.9062316073417402.
Trial 57 finished with value: 0.8937778410851677 and parameters: {'max_depth': 9, 'min_child_weight': 1, 'gamma': 0.35334509781126755, 'subsample': 0.5657051561711769, 'colsample_bytree': 0.8013002369251881, 'learning_rate': 0.29369923120978625, 'reg_alpha': 7.831703450048073, 'reg_lambda': 0.08099201088247421}. Best is trial 22 with value: 0.9062316073417402.
Trial 78 finished with value: 0.3886340539919714 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.11274435145859185, 'subsample': 0.45442756854946564, 'colsample_bytree': 0.8311203566395642, 'learning_rate': 0.44429661351985517, 'reg_alpha': 0.0001243468736169639, 'reg_lambda': 0.0010945331597681945}. Best is trial 22 with value: 0.9062316073417402.
Trial 51 finished with value: 0.6738419676640461 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.30963403214232676, 'subsample': 0.41535619162299486, 'colsample_bytree': 0.44467602810776474, 'learning_rate': 0.7348768461195161, 'reg_alpha': 0.00028988176754899493, 'reg_lambda': 0.37608869687677493}. Best is trial 22 with value: 0.9062316073417402.
Trial 75 finished with value: 0.43265989372061625 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.06319720576778576, 'subsample': 0.200824877014683, 'colsample_bytree': 0.8931176376316506, 'learning_rate': 0.012560888025170636, 'reg_alpha': 0.0337701425916544, 'reg_lambda': 0.007155435803048125}. Best is trial 22 with value: 0.9062316073417402.
Trial 46 finished with value: 0.8407941503857237 and parameters: {'max_depth': 10, 'min_child_weight': 4, 'gamma': 0.9793365724761102, 'subsample': 0.7966321246195266, 'colsample_bytree': 0.3503677660786967, 'learning_rate': 0.5499092142165183, 'reg_alpha': 0.0003672526975099624, 'reg_lambda': 0.00391262731913851}. Best is trial 22 with value: 0.9062316073417402.
Trial 82 finished with value: -0.1977944150485628 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.627290970061209, 'subsample': 0.17653455230391635, 'colsample_bytree': 0.07914262667321958, 'learning_rate': 0.6937269197208843, 'reg_alpha': 0.11529328218619934, 'reg_lambda': 7.050653333374239}. Best is trial 22 with value: 0.9062316073417402.
Trial 79 finished with value: -130.1747082172134 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.16050678081593395, 'subsample': 0.17279681963029458, 'colsample_bytree': 0.4387170008460727, 'learning_rate': 0.8490775532424633, 'reg_alpha': 0.00016092431796218778, 'reg_lambda': 0.26684805869247974}. Best is trial 22 with value: 0.9062316073417402.
Trial 76 finished with value: 0.0974390854571594 and parameters: {'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.44592010150400696, 'subsample': 0.8947396967193506, 'colsample_bytree': 0.04732629993377513, 'learning_rate': 0.05103267812039436, 'reg_alpha': 0.00011451649620359888, 'reg_lambda': 0.052749401515973286}. Best is trial 22 with value: 0.9062316073417402.
Trial 49 finished with value: 0.8830147224279021 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.8380581499283711, 'subsample': 0.4666984035051366, 'colsample_bytree': 0.7805512605638121, 'learning_rate': 0.09932034451628535, 'reg_alpha': 0.00029040974016020146, 'reg_lambda': 0.8472434754759898}. Best is trial 22 with value: 0.9062316073417402.
Trial 83 finished with value: 0.08202366894614159 and parameters: {'max_depth': 3, 'min_child_weight': 4, 'gamma': 0.3433917995851592, 'subsample': 0.9165940286914267, 'colsample_bytree': 0.01006181197585343, 'learning_rate': 0.3774750764190117, 'reg_alpha': 0.11050479155477877, 'reg_lambda': 0.012521126921352682}. Best is trial 22 with value: 0.9062316073417402.
Trial 91 finished with value: -0.8307082077009553 and parameters: {'max_depth': 1, 'min_child_weight': 4, 'gamma': 0.3051616205509632, 'subsample': 0.12190358346365437, 'colsample_bytree': 0.4042925220913549, 'learning_rate': 0.8459293846854395, 'reg_alpha': 7.498226409947907, 'reg_lambda': 0.022960217116480205}. Best is trial 22 with value: 0.9062316073417402.
Trial 72 finished with value: 0.8445263712580204 and parameters: {'max_depth': 8, 'min_child_weight': 1, 'gamma': 0.45860597263746294, 'subsample': 0.881538682314697, 'colsample_bytree': 0.19764955000546858, 'learning_rate': 0.22547007967195165, 'reg_alpha': 2.0564986359432607, 'reg_lambda': 0.000646512208491358}. Best is trial 22 with value: 0.9062316073417402.
Trial 89 finished with value: 0.4694516437048885 and parameters: {'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.3936540351172182, 'subsample': 0.8322620261312833, 'colsample_bytree': 0.892068459718632, 'learning_rate': 0.08173544326261017, 'reg_alpha': 0.0007183712019023844, 'reg_lambda': 0.0011256490135777507}. Best is trial 22 with value: 0.9062316073417402.
Trial 94 finished with value: 0.08882709604770642 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.4080772767140193, 'subsample': 0.8964194826386138, 'colsample_bytree': 0.7556043948628972, 'learning_rate': 0.842998080924679, 'reg_alpha': 6.091751576297738, 'reg_lambda': 9.279478573289696}. Best is trial 22 with value: 0.9062316073417402.
Trial 58 finished with value: 0.890490276384046 and parameters: {'max_depth': 9, 'min_child_weight': 2, 'gamma': 0.5082798670705478, 'subsample': 0.7042965744823181, 'colsample_bytree': 0.39291573466343954, 'learning_rate': 0.3516809320364871, 'reg_alpha': 0.0006918858682038116, 'reg_lambda': 0.8939067924953737}. Best is trial 22 with value: 0.9062316073417402.
