A new study created in RDB with name: Poly_Ridge_103944
Trial 23 finished with value: 0.4508943045692794 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.5662235545448863, 'max_iter': 69192}. Best is trial 23 with value: 0.4508943045692794.
Trial 37 finished with value: -2.296919675977123 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 0.023756740058268895, 'max_iter': 40194}. Best is trial 33 with value: 0.6271905967545173.
Trial 42 finished with value: 0.3784037191597783 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.002368397462695039, 'max_iter': 8592}. Best is trial 33 with value: 0.6271905967545173.
Trial 29 finished with value: 0.1399572303531842 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.008951960779008119, 'max_iter': 33226}. Best is trial 33 with value: 0.6271905967545173.
Trial 28 finished with value: -16.079505564781975 and parameters: {'n_components': 9, 'degree': 5, 'alpha': 0.0002376516000550153, 'max_iter': 95652}. Best is trial 33 with value: 0.6271905967545173.
Trial 36 finished with value: -0.18874593111383042 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 7.895028984629344, 'max_iter': 78786}. Best is trial 33 with value: 0.6271905967545173.
Trial 41 finished with value: 0.263606602794864 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 0.0022874422311300008, 'max_iter': 36423}. Best is trial 33 with value: 0.6271905967545173.
Trial 35 finished with value: -5.1169504031951645 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 1.3817348751256961, 'max_iter': 18026}. Best is trial 33 with value: 0.6271905967545173.
Trial 44 finished with value: -2.2969404829221434 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 0.00012417409312315996, 'max_iter': 57264}. Best is trial 33 with value: 0.6271905967545173.
Trial 40 finished with value: -5.075714152362217 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.3367824999381262, 'max_iter': 80491}. Best is trial 33 with value: 0.6271905967545173.
Trial 38 finished with value: -4.896989272627878 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.21906091104550862, 'max_iter': 84491}. Best is trial 33 with value: 0.6271905967545173.
Trial 46 finished with value: -0.013941185719147108 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.31606033647835724, 'max_iter': 7432}. Best is trial 33 with value: 0.6271905967545173.
Trial 48 finished with value: 0.24821898584240704 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 0.09895880060696115, 'max_iter': 24913}. Best is trial 33 with value: 0.6271905967545173.
Trial 45 finished with value: 0.3537116789896612 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.017168317393880576, 'max_iter': 37609}. Best is trial 33 with value: 0.6271905967545173.
Trial 47 finished with value: -16.29756867753615 and parameters: {'n_components': 11, 'degree': 5, 'alpha': 0.0004897781479990807, 'max_iter': 42713}. Best is trial 33 with value: 0.6271905967545173.
Trial 50 finished with value: -0.2530039243890423 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.13118650032224177, 'max_iter': 46362}. Best is trial 33 with value: 0.6271905967545173.
Trial 57 finished with value: 0.4308509802493924 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.7480205379481575, 'max_iter': 19660}. Best is trial 33 with value: 0.6271905967545173.
Trial 54 finished with value: -5.768379022335638 and parameters: {'n_components': 1, 'degree': 2, 'alpha': 0.00676702760975957, 'max_iter': 9638}. Best is trial 33 with value: 0.6271905967545173.
Trial 56 finished with value: 0.22929084864139654 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 0.33059531540397064, 'max_iter': 94786}. Best is trial 33 with value: 0.6271905967545173.
Trial 53 finished with value: -2.29694043345573 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 0.00018035119922982557, 'max_iter': 26651}. Best is trial 33 with value: 0.6271905967545173.
Trial 52 finished with value: -1.1270323291763358 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.008583986303888775, 'max_iter': 18065}. Best is trial 33 with value: 0.6271905967545173.
Trial 49 finished with value: -1.844921428829998 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.09945339832303393, 'max_iter': 22340}. Best is trial 33 with value: 0.6271905967545173.
Trial 55 finished with value: 0.07365661976703045 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.14470311544750586, 'max_iter': 35094}. Best is trial 33 with value: 0.6271905967545173.
Trial 51 finished with value: -1.8417711183614496 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 2.108886978768739, 'max_iter': 87537}. Best is trial 33 with value: 0.6271905967545173.
Trial 59 finished with value: -1.127022597819775 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.0825118761100964, 'max_iter': 71613}. Best is trial 33 with value: 0.6271905967545173.
Trial 64 finished with value: 0.5612669288431892 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 0.05403781347941296, 'max_iter': 90211}. Best is trial 33 with value: 0.6271905967545173.
Trial 63 finished with value: 0.35387517283810044 and parameters: {'n_components': 7, 'degree': 5, 'alpha': 0.24220437517726537, 'max_iter': 80515}. Best is trial 33 with value: 0.6271905967545173.
Trial 61 finished with value: 0.15993217435718232 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 1.4865466271019758, 'max_iter': 20417}. Best is trial 33 with value: 0.6271905967545173.
Trial 67 finished with value: 0.2418227321290337 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 0.2710513843355234, 'max_iter': 80953}. Best is trial 33 with value: 0.6271905967545173.
Trial 58 finished with value: -5.11653739437365 and parameters: {'n_components': 1, 'degree': 1, 'alpha': 0.002898553048654302, 'max_iter': 15054}. Best is trial 33 with value: 0.6271905967545173.
Trial 60 finished with value: 0.03646319057407921 and parameters: {'n_components': 7, 'degree': 2, 'alpha': 0.0014558935733377095, 'max_iter': 81494}. Best is trial 33 with value: 0.6271905967545173.
Trial 62 finished with value: 0.29753677839311976 and parameters: {'n_components': 6, 'degree': 4, 'alpha': 0.0023389285337136172, 'max_iter': 16001}. Best is trial 33 with value: 0.6271905967545173.
Trial 65 finished with value: 0.18216551424104044 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.00043084133133582087, 'max_iter': 37631}. Best is trial 33 with value: 0.6271905967545173.
Trial 70 finished with value: 0.3052296884420503 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 5.008953593235428, 'max_iter': 25244}. Best is trial 33 with value: 0.6271905967545173.
Trial 66 finished with value: -1.1270162025272412 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.1315283494677417, 'max_iter': 90051}. Best is trial 33 with value: 0.6271905967545173.
Trial 75 finished with value: 0.25465313799326933 and parameters: {'n_components': 4, 'degree': 5, 'alpha': 0.017640884710754985, 'max_iter': 7403}. Best is trial 33 with value: 0.6271905967545173.
Trial 69 finished with value: -0.023970160040795364 and parameters: {'n_components': 5, 'degree': 2, 'alpha': 0.2660828962708666, 'max_iter': 28979}. Best is trial 33 with value: 0.6271905967545173.
Trial 72 finished with value: -0.7586393172380091 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 0.07131588396708224, 'max_iter': 53271}. Best is trial 33 with value: 0.6271905967545173.
Trial 77 finished with value: -1.8430387148029428 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.00024176038338277764, 'max_iter': 79185}. Best is trial 33 with value: 0.6271905967545173.
Trial 71 finished with value: -2.6946769216736666 and parameters: {'n_components': 2, 'degree': 3, 'alpha': 0.04706370355434889, 'max_iter': 55923}. Best is trial 33 with value: 0.6271905967545173.
Trial 73 finished with value: -4.834417215244228 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.0007394578618422958, 'max_iter': 11182}. Best is trial 33 with value: 0.6271905967545173.
Trial 68 finished with value: 0.4117032919137761 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.0003982203246390782, 'max_iter': 12658}. Best is trial 33 with value: 0.6271905967545173.
Trial 74 finished with value: 0.3472415668434188 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.038928461090986036, 'max_iter': 50560}. Best is trial 33 with value: 0.6271905967545173.
Trial 80 finished with value: -4.441796229122589 and parameters: {'n_components': 1, 'degree': 5, 'alpha': 0.005359945314573339, 'max_iter': 44228}. Best is trial 33 with value: 0.6271905967545173.
Trial 76 finished with value: 0.3454001744470772 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 0.054749976716270625, 'max_iter': 41404}. Best is trial 33 with value: 0.6271905967545173.
Trial 78 finished with value: -1.7260475426466861 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.20761506430138052, 'max_iter': 46557}. Best is trial 33 with value: 0.6271905967545173.
Trial 89 finished with value: -4.896642573866037 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 4.406648833824356, 'max_iter': 53756}. Best is trial 33 with value: 0.6271905967545173.
Trial 79 finished with value: 0.1733581620033321 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 0.004623710862357369, 'max_iter': 12853}. Best is trial 33 with value: 0.6271905967545173.
Trial 85 finished with value: 0.11410175070991092 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 0.06631755879362343, 'max_iter': 27220}. Best is trial 84 with value: 0.6340836209504588.
Trial 84 finished with value: 0.6340836209504588 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 9.297416439161749, 'max_iter': 11993}. Best is trial 84 with value: 0.6340836209504588.
Trial 82 finished with value: 0.5694056603227984 and parameters: {'n_components': 10, 'degree': 4, 'alpha': 0.009855945302146873, 'max_iter': 76904}. Best is trial 84 with value: 0.6340836209504588.
Trial 94 finished with value: 0.1717387284479134 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 2.4869953567334293, 'max_iter': 77238}. Best is trial 84 with value: 0.6340836209504588.
Trial 93 finished with value: -1.244139869446686 and parameters: {'n_components': 2, 'degree': 4, 'alpha': 5.501200346300818, 'max_iter': 85523}. Best is trial 84 with value: 0.6340836209504588.
Trial 81 finished with value: 0.4486694301631909 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 0.0038956678070946795, 'max_iter': 72533}. Best is trial 84 with value: 0.6340836209504588.
Trial 91 finished with value: -1.8500673635027796 and parameters: {'n_components': 6, 'degree': 1, 'alpha': 0.011112954608581227, 'max_iter': 22702}. Best is trial 84 with value: 0.6340836209504588.
Trial 99 finished with value: 0.43747022365962296 and parameters: {'n_components': 9, 'degree': 3, 'alpha': 0.14327965811955706, 'max_iter': 94487}. Best is trial 84 with value: 0.6340836209504588.
Trial 88 finished with value: -1.844984086112438 and parameters: {'n_components': 7, 'degree': 1, 'alpha': 0.000369467536327559, 'max_iter': 41064}. Best is trial 84 with value: 0.6340836209504588.
Trial 92 finished with value: -1.127032546388823 and parameters: {'n_components': 10, 'degree': 1, 'alpha': 0.006942751783424607, 'max_iter': 79646}. Best is trial 84 with value: 0.6340836209504588.
Trial 83 finished with value: -1.7262139788148658 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.00015299844712165253, 'max_iter': 10501}. Best is trial 84 with value: 0.6340836209504588.
Trial 87 finished with value: 0.4415178088677186 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 3.122540519217897, 'max_iter': 14803}. Best is trial 84 with value: 0.6340836209504588.
Trial 98 finished with value: 0.43903016340112777 and parameters: {'n_components': 8, 'degree': 3, 'alpha': 0.004287475649305977, 'max_iter': 81487}. Best is trial 84 with value: 0.6340836209504588.
Trial 96 finished with value: 0.23123008134470957 and parameters: {'n_components': 6, 'degree': 3, 'alpha': 0.0002448348784970815, 'max_iter': 2629}. Best is trial 84 with value: 0.6340836209504588.
Trial 90 finished with value: 0.5635760075875397 and parameters: {'n_components': 11, 'degree': 4, 'alpha': 0.11395016772503379, 'max_iter': 82674}. Best is trial 84 with value: 0.6340836209504588.
Trial 86 finished with value: 0.18245122428227603 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.0030196428391359737, 'max_iter': 76891}. Best is trial 84 with value: 0.6340836209504588.
Trial 97 finished with value: -0.9735538312331349 and parameters: {'n_components': 10, 'degree': 5, 'alpha': 0.0061977932644509, 'max_iter': 33015}. Best is trial 84 with value: 0.6340836209504588.
Trial 95 finished with value: -4.897007737691887 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 0.0006265783782972859, 'max_iter': 63834}. Best is trial 84 with value: 0.6340836209504588.
