A new study created in RDB with name: MLP_12115
Trial 0 finished with value: 141.5070466244852 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00538449941369389, 'batch_size': 96}. Best is trial 0 with value: 141.5070466244852.
Trial 11 finished with value: 217.43983029892993 and parameters: {'input_dropout': 0.05, 'hidden_layers': 2, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.006042501401924713, 'batch_size': 96}. Best is trial 8 with value: 84.23618153143106.
Trial 12 finished with value: 127.37896746077882 and parameters: {'input_dropout': 0.1, 'hidden_layers': 2, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0020299773618851504, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 13 finished with value: 118.29423611246538 and parameters: {'input_dropout': 0.1, 'hidden_layers': 2, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'lr': 0.00878171994970715, 'batch_size': 128}. Best is trial 8 with value: 84.23618153143106.
Trial 14 finished with value: 176.00916325175328 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'lr': 0.001613789224573176, 'batch_size': 96}. Best is trial 8 with value: 84.23618153143106.
Trial 15 finished with value: 153.45807354157054 and parameters: {'input_dropout': 0.2, 'hidden_layers': 2, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0028073783551177574, 'batch_size': 128}. Best is trial 8 with value: 84.23618153143106.
Trial 16 finished with value: 109.75986594678722 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0007129224344026315, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 17 finished with value: 112.43961712243105 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.000721559045367184, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 18 finished with value: 330.4999676225408 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 4.9769746990580154e-05, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 19 finished with value: 125.90936249499806 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0008629193185319234, 'batch_size': 32}. Best is trial 8 with value: 84.23618153143106.
Trial 20 finished with value: 113.86774640177495 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0003467961058328703, 'batch_size': 96}. Best is trial 8 with value: 84.23618153143106.
Trial 21 finished with value: 99.23933281896558 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0007902134670448243, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 22 finished with value: 110.76786979608967 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0010671951986692425, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 23 finished with value: 145.49554936435396 and parameters: {'input_dropout': 0.1, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.002690601056715999, 'batch_size': 64}. Best is trial 8 with value: 84.23618153143106.
Trial 24 finished with value: 87.5290533788071 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0005591658344829102, 'batch_size': 32}. Best is trial 8 with value: 84.23618153143106.
Trial 25 finished with value: 60.03259300788747 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00040391295941206025, 'batch_size': 32}. Best is trial 25 with value: 60.03259300788747.
Trial 26 finished with value: 141.8905337114068 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 5.190594727949859e-05, 'batch_size': 32}. Best is trial 25 with value: 60.03259300788747.
Trial 27 finished with value: 62.2122335245701 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0004102221547537838, 'batch_size': 32}. Best is trial 25 with value: 60.03259300788747.
Trial 28 finished with value: 32.362759975150375 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0002278413437594601, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 29 finished with value: 84.54866204652836 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 7.657845307923789e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 30 finished with value: 57.23794090547244 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00023106500402809957, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 31 finished with value: 53.191713404621055 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0001968232473249059, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 32 finished with value: 50.81029096943162 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0002192334107778478, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 33 finished with value: 44.54352814320739 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00021034912825608338, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 34 finished with value: 121.40229839422146 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00021450596386559287, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 35 finished with value: 81.89737106188795 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 9.629765758799551e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 36 finished with value: 81.37483170104014 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00017837901392140347, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 37 finished with value: 98.03269232333798 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00010661832198988904, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 38 finished with value: 121.20922359799545 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 6.09461968673062e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 39 finished with value: 622.4901646914275 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 3.633125950678516e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 40 finished with value: 187.10266545980386 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0002640823797967105, 'batch_size': 64}. Best is trial 28 with value: 32.362759975150375.
Trial 41 finished with value: 48.758192754989075 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00014581777121079907, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 42 finished with value: 37.39342019968068 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00015256401277916387, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 43 finished with value: 63.485844608145406 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00012372408273771013, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 44 finished with value: 98.42037961131658 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00013942265015291446, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 45 finished with value: 555.7004069726152 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 3.5694721003850266e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 46 finished with value: 75.67269751368485 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'lr': 0.00030928195608456586, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 47 finished with value: 205.5313766673236 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 8.28163946741964e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 48 finished with value: 140.6453907781289 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00016035586656829213, 'batch_size': 64}. Best is trial 28 with value: 32.362759975150375.
Trial 49 finished with value: 112.37971486954171 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.0004879941922084401, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 50 finished with value: 153.12727506022094 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0002748129234876216, 'batch_size': 64}. Best is trial 28 with value: 32.362759975150375.
Trial 51 finished with value: 60.61213138000318 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00018213803728173335, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 52 finished with value: 49.71937262330501 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00012326510680295388, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 53 finished with value: 51.00013438898334 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00011779690144039711, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 54 finished with value: 108.08369553736874 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 7.242500750057988e-05, 'batch_size': 32}. Best is trial 28 with value: 32.362759975150375.
Trial 55 finished with value: 30.45262821095914 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00014663025055583844, 'batch_size': 32}. Best is trial 55 with value: 30.45262821095914.
Trial 56 finished with value: 4932.755397699598 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.00014145200302866608, 'batch_size': 32}. Best is trial 55 with value: 30.45262821095914.
Trial 57 finished with value: 237.43581175095807 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 2.423787137326368e-05, 'batch_size': 32}. Best is trial 55 with value: 30.45262821095914.
Trial 58 finished with value: 196.06145790771453 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00010420316482752972, 'batch_size': 64}. Best is trial 55 with value: 30.45262821095914.
Trial 59 finished with value: 122.4462389123592 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0003415871026682558, 'batch_size': 32}. Best is trial 55 with value: 30.45262821095914.
Trial 60 finished with value: 247.292103061876 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00015710068825348174, 'batch_size': 64}. Best is trial 55 with value: 30.45262821095914.
Trial 61 finished with value: 64.33249020528733 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.0002467173181259151, 'batch_size': 32}. Best is trial 55 with value: 30.45262821095914.
Trial 62 finished with value: 50.26600282390172 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'lr': 0.00020873258274654277, 'batch_size': 32}. Best is trial 55 with value: 30.45262821095914.
Trial 63 finished with value: 22.416451665775348 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00044240786485340105, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 64 finished with value: 75.54527510983118 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000439219542499166, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 65 finished with value: 35.130144550248765 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.000580807884923737, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 66 finished with value: 71.38759776903747 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'lr': 0.000628697687365349, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 67 finished with value: 179.61652050880085 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0004896923035618183, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 68 finished with value: 75.40142371956613 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0009391705224772887, 'batch_size': 96}. Best is trial 63 with value: 22.416451665775348.
Trial 69 finished with value: 68.45218297089963 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0015864177249292984, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 70 finished with value: 57.3490650792228 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0011092522567775244, 'batch_size': 32}. Best is trial 63 with value: 22.416451665775348.
Trial 71 finished with value: 18.91211129721886 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00032517429602788516, 'batch_size': 32}. Best is trial 71 with value: 18.91211129721886.
Trial 72 finished with value: 16.83428785728496 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.00034707566764509044, 'batch_size': 32}. Best is trial 72 with value: 16.83428785728496.
Trial 73 finished with value: 45.64651500554578 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'lr': 0.0003697566859428606, 'batch_size': 32}. Best is trial 72 with value: 16.83428785728496.
