A new study created in RDB with name: MLP_62542
Trial 0 finished with value: 258.6958705672323 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002127899633977048, 'batch_size': 128}. Best is trial 0 with value: 258.6958705672323.
Trial 18 finished with value: 136.23858237423048 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005718686248377939, 'batch_size': 32}. Best is trial 16 with value: 111.67178491158444.
Trial 19 finished with value: 174.64720360271903 and parameters: {'input_dropout': 0.05, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0008005946620820871, 'batch_size': 32}. Best is trial 16 with value: 111.67178491158444.
Trial 20 finished with value: 20757.938618358257 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 7.18486545436374e-05, 'batch_size': 96}. Best is trial 16 with value: 111.67178491158444.
Trial 21 finished with value: 98.51218859263567 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003855472077701251, 'batch_size': 64}. Best is trial 21 with value: 98.51218859263567.
Trial 22 finished with value: 86.34505669158328 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0038251206489629337, 'batch_size': 64}. Best is trial 22 with value: 86.34505669158328.
Trial 23 finished with value: 58.85640138423478 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0033617793473936634, 'batch_size': 64}. Best is trial 23 with value: 58.85640138423478.
Trial 24 finished with value: 88.34955378018172 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027807808705384712, 'batch_size': 64}. Best is trial 23 with value: 58.85640138423478.
Trial 25 finished with value: 114.48141884406893 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010032377055483547, 'batch_size': 64}. Best is trial 23 with value: 58.85640138423478.
Trial 26 finished with value: 252.39201760912613 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0003241182589967911, 'batch_size': 96}. Best is trial 23 with value: 58.85640138423478.
Trial 27 finished with value: 86.33928223891058 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002774079463890728, 'batch_size': 64}. Best is trial 23 with value: 58.85640138423478.
Trial 28 finished with value: 28.346493646665717 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011595370761576973, 'batch_size': 64}. Best is trial 28 with value: 28.346493646665717.
Trial 29 finished with value: 3818.908580810676 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0012666725387720248, 'batch_size': 96}. Best is trial 28 with value: 28.346493646665717.
Trial 30 finished with value: 4936.915892890586 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0004691768761811342, 'batch_size': 64}. Best is trial 28 with value: 28.346493646665717.
Trial 31 finished with value: 25.433580154386238 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0023311128593587875, 'batch_size': 64}. Best is trial 31 with value: 25.433580154386238.
Trial 32 finished with value: 26.550582621176936 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002074106342202442, 'batch_size': 64}. Best is trial 31 with value: 25.433580154386238.
Trial 33 finished with value: 26.129846386458098 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016525678427067828, 'batch_size': 64}. Best is trial 31 with value: 25.433580154386238.
Trial 34 finished with value: 24.913800048419265 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016661860999893272, 'batch_size': 64}. Best is trial 34 with value: 24.913800048419265.
Trial 35 finished with value: 159.1546125900452 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0020894525581202092, 'batch_size': 96}. Best is trial 34 with value: 24.913800048419265.
Trial 36 finished with value: 215.8690641386289 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0001426983522936552, 'batch_size': 64}. Best is trial 34 with value: 24.913800048419265.
Trial 37 finished with value: 55.802125678114436 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005255636427108148, 'batch_size': 96}. Best is trial 34 with value: 24.913800048419265.
Trial 38 finished with value: 147.49700841646688 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.006331622484088503, 'batch_size': 64}. Best is trial 34 with value: 24.913800048419265.
Trial 39 finished with value: 21.76364814077251 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018103184448356356, 'batch_size': 64}. Best is trial 39 with value: 21.76364814077251.
Trial 40 finished with value: 215.2846055768958 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000531209891005151, 'batch_size': 96}. Best is trial 39 with value: 21.76364814077251.
Trial 41 finished with value: 15.176167823139085 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001841199256544634, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 42 finished with value: 53.506215107617116 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014854930242180898, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 43 finished with value: 42.95683917130936 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009248157337187688, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 44 finished with value: 24.136660699936606 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019945066674427296, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 45 finished with value: 171.64197729842584 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.006979567969300925, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 46 finished with value: 148.5860781845656 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0002073492943495254, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 47 finished with value: 49.245386128391694 and parameters: {'input_dropout': 0.05, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019739830294897773, 'batch_size': 32}. Best is trial 41 with value: 15.176167823139085.
Trial 48 finished with value: 109.77631719095592 and parameters: {'input_dropout': 0.05, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0028736520551264516, 'batch_size': 96}. Best is trial 41 with value: 15.176167823139085.
Trial 49 finished with value: 438.0890431064631 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 3.000893193429284e-05, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 50 finished with value: 171.08256867331056 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 32, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.005168478234401712, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 51 finished with value: 21.787577394905828 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015757871149853638, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 52 finished with value: 18.02675412918413 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012098917113119402, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 53 finished with value: 28.05802101180675 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000653781471141449, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 54 finished with value: 182.62665350072064 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0013676022702516922, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 55 finished with value: 26.52543102395791 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0010187285671047512, 'batch_size': 32}. Best is trial 41 with value: 15.176167823139085.
Trial 56 finished with value: 2082.0620763268435 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0017985155708574701, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 57 finished with value: 191.73312727549836 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007829060462463914, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 58 finished with value: 24.76012482239187 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00039058618308626317, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 59 finished with value: 92.62035362835682 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0003314431684879936, 'batch_size': 32}. Best is trial 41 with value: 15.176167823139085.
Trial 60 finished with value: 42.55017794606409 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0002594987910863046, 'batch_size': 64}. Best is trial 41 with value: 15.176167823139085.
Trial 61 finished with value: 14.323106861365355 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012623716379163246, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 62 finished with value: 27.170300519156203 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00040836828730670327, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 63 finished with value: 21.796463275649614 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006276460320298397, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 64 finished with value: 28.20573368396377 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006212536045123966, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 65 finished with value: 79.88918276738379 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012144218223814746, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 66 finished with value: 66.30060950407729 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0009638139161968396, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 67 finished with value: 70.7526812862697 and parameters: {'input_dropout': 0.0, 'hidden_layers': 4, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.002976223031363133, 'batch_size': 96}. Best is trial 61 with value: 14.323106861365355.
Trial 68 finished with value: 63.25367389318723 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.000812327372638548, 'batch_size': 32}. Best is trial 61 with value: 14.323106861365355.
Trial 69 finished with value: 93.72858746216406 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0024159764159533037, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 70 finished with value: 32.35131501387632 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0011343614552530403, 'batch_size': 64}. Best is trial 61 with value: 14.323106861365355.
Trial 71 finished with value: 14.126484317567519 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0014400017723581778, 'batch_size': 64}. Best is trial 71 with value: 14.126484317567519.
