A new study created in RDB with name: MLP_153131
Trial 0 finished with value: 495.5684996318022 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0010891743874929258, 'batch_size': 96}. Best is trial 0 with value: 495.5684996318022.
Trial 32 finished with value: 23.33567454116244 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030921650013872987, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 33 finished with value: 157.90383671748953 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002456949503883167, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 34 finished with value: 20.34398202923733 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0017136633607003728, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 35 finished with value: 1926.6821696646045 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0009196687340510782, 'batch_size': 96}. Best is trial 30 with value: 18.910358989608373.
Trial 36 finished with value: 325.65100118318975 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.009483562910950859, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 37 finished with value: 46.10618415424043 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.003248273462366994, 'batch_size': 96}. Best is trial 30 with value: 18.910358989608373.
Trial 38 finished with value: 28.7322811896635 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0018556824073541367, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 39 finished with value: 605.3344102799567 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0011310973177762723, 'batch_size': 96}. Best is trial 30 with value: 18.910358989608373.
Trial 40 finished with value: 533.2834730709262 and parameters: {'input_dropout': 0.2, 'hidden_layers': 10, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0024331738135899314, 'batch_size': 128}. Best is trial 30 with value: 18.910358989608373.
Trial 41 finished with value: 46.941529266057415 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001667436404008456, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 42 finished with value: 31.005413312863926 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0013823231867172445, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 43 finished with value: 284.4330486777743 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002877610260916363, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 44 finished with value: 24.237062649782214 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0021741637794195096, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 45 finished with value: 45.931156610884806 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0022485864546539242, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 46 finished with value: 154.71290722847274 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003462215042977926, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 47 finished with value: 1938.225771057241 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006562644023385581, 'batch_size': 96}. Best is trial 30 with value: 18.910358989608373.
Trial 48 finished with value: 310.4304715347437 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0018333031259358307, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 49 finished with value: 257.8909952485585 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.003700928876593276, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 50 finished with value: 159.16288520121338 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 9, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0027553478381299435, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 51 finished with value: 31.788036453122128 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0022040136707447405, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 52 finished with value: 83.4230630614275 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015431227036624337, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 53 finished with value: 123.93346279274658 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0012491957702209404, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 54 finished with value: 73.02976275413823 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0015095062900848562, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 55 finished with value: 248.41470896597775 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0018276824577729083, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 56 finished with value: 32.43725111335011 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002959823094241199, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 57 finished with value: 58.27852011943908 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.005077368551332507, 'batch_size': 96}. Best is trial 30 with value: 18.910358989608373.
Trial 58 finished with value: 101.77225790878448 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0024832622622829557, 'batch_size': 32}. Best is trial 30 with value: 18.910358989608373.
Trial 59 finished with value: 33.61204149613014 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000994715623986638, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 60 finished with value: 9133.102305889486 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005408650789168345, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 61 finished with value: 24.184301668032024 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0017912257853723542, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 62 finished with value: 27.549743997184223 and parameters: {'input_dropout': 0.0, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002026515880015345, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 63 finished with value: 89.35113903663651 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0017772505583810345, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 64 finished with value: 32.09767425608146 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0012661919129434986, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 65 finished with value: 156.73280941240665 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002198714144494222, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 66 finished with value: 249.3964978528627 and parameters: {'input_dropout': 0.0, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.001455096732176768, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 67 finished with value: 150.66796350804017 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016713831159898016, 'batch_size': 32}. Best is trial 30 with value: 18.910358989608373.
Trial 68 finished with value: 122.67700839148142 and parameters: {'input_dropout': 0.0, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0031291318948393236, 'batch_size': 96}. Best is trial 30 with value: 18.910358989608373.
Trial 69 finished with value: 25.947495355492222 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0025626784115669542, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 70 finished with value: 95.86027158689504 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 96, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0037713803773548335, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
Trial 71 finished with value: 25.622116332171775 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0019800101780653736, 'batch_size': 64}. Best is trial 30 with value: 18.910358989608373.
