A new study created in RDB with name: MLP_942
Trial 0 finished with value: 184.6502827269914 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0030870657531373693, 'batch_size': 32}. Best is trial 0 with value: 184.6502827269914.
Trial 30 finished with value: 15021.652249967019 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 10, 'hidden_units': 96, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000227557262989478, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 31 finished with value: 17259.648714266925 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00021064548329200136, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 32 finished with value: 15012.30263696267 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0005014351217569162, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 33 finished with value: 115.44635993553396 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0009106970678093224, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 34 finished with value: 264.4429667666381 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002758632236066018, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 35 finished with value: 142.5282801652933 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 64, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0076491865794296775, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 36 finished with value: 382.6813602622875 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00010282451215116263, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 37 finished with value: 5845.313119860145 and parameters: {'input_dropout': 0.05, 'hidden_layers': 5, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0005417022581979075, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 38 finished with value: 38.28462353841328 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.002678192841805507, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 39 finished with value: 1412.6206576108875 and parameters: {'input_dropout': 0.2, 'hidden_layers': 6, 'hidden_units': 64, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0007504603142730855, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 40 finished with value: 146.11223875638188 and parameters: {'input_dropout': 0.1, 'hidden_layers': 6, 'hidden_units': 224, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006024994258384352, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 41 finished with value: 195.1994761385854 and parameters: {'input_dropout': 0.05, 'hidden_layers': 6, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.00020612593139415712, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 42 finished with value: 119.36942530291888 and parameters: {'input_dropout': 0.1, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0037876892584875962, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 43 finished with value: 178.96301304381467 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 160, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0012470619129164035, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 44 finished with value: 7970.826608924632 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0004993775820385137, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 45 finished with value: 139.01204148876815 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0007078721043048345, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 46 finished with value: 19923.65809472518 and parameters: {'input_dropout': 0.1, 'hidden_layers': 5, 'hidden_units': 160, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00010951590399925074, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 47 finished with value: 115.12041381006816 and parameters: {'input_dropout': 0.2, 'hidden_layers': 4, 'hidden_units': 160, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0021674670255041194, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 48 finished with value: 8048.993540616175 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.0005039601043048409, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 49 finished with value: 171.7763917364443 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0006239169198168417, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 50 finished with value: 310.0012698818458 and parameters: {'input_dropout': 0.05, 'hidden_layers': 8, 'hidden_units': 32, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.009068766728037709, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 51 finished with value: 15960.472177546455 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00018106143418890756, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 52 finished with value: 1989.7275935240707 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'adam', 'optimizer_lr': 0.00034499241921318247, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 53 finished with value: 152.84344197477597 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001225929132034566, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 54 finished with value: 87.05680254903217 and parameters: {'input_dropout': 0.0, 'hidden_layers': 7, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0006993614927897858, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 55 finished with value: 141.86139367766458 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.009679384184623746, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 56 finished with value: 12674.058316602182 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.00014304613949205945, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 57 finished with value: 92.58824509439621 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003866321075627506, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 58 finished with value: 2004.4454996280042 and parameters: {'input_dropout': 0.2, 'hidden_layers': 8, 'hidden_units': 256, 'kernel_initializer': 'he_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.3, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0031734556937487355, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 59 finished with value: 1943.792450261606 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0014131397054307066, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 60 finished with value: 3955.603145345749 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 32, 'kernel_initializer': 'he_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.002833107765154902, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 61 finished with value: 155.99705449007058 and parameters: {'input_dropout': 0.0, 'hidden_layers': 10, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.25, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0024388884830442575, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 62 finished with value: 264.67024479524235 and parameters: {'input_dropout': 0.05, 'hidden_layers': 7, 'hidden_units': 64, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.25, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.003797694922327034, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 63 finished with value: 123.09333025125545 and parameters: {'input_dropout': 0.1, 'hidden_layers': 3, 'hidden_units': 224, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.2, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.006887701786674677, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 64 finished with value: 299.77530983079146 and parameters: {'input_dropout': 0.15000000000000002, 'hidden_layers': 7, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.0016028186804885746, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 65 finished with value: 233.98687691783277 and parameters: {'input_dropout': 0.1, 'hidden_layers': 9, 'hidden_units': 128, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'prelu', 'hidden_dropout': 0.3, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0037972776211209758, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 66 finished with value: 164.79509110917144 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 128, 'kernel_initializer': 'he_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.15000000000000002, 'batch_norm': 'off', 'optimizer_type': 'adam', 'optimizer_lr': 0.001902521595769584, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 67 finished with value: 95.53831802024878 and parameters: {'input_dropout': 0.0, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.1, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.001056092286199637, 'batch_size': 32}. Best is trial 26 with value: 21.03031085049643.
Trial 68 finished with value: 18354.698558250268 and parameters: {'input_dropout': 0.0, 'hidden_layers': 3, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'prelu', 'hidden_dropout': 0.05, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0001742347280201804, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
Trial 69 finished with value: 165.62055292746865 and parameters: {'input_dropout': 0.2, 'hidden_layers': 5, 'hidden_units': 96, 'kernel_initializer': 'random_normal', 'hidden_activation': 'relu', 'hidden_dropout': 0.05, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.004381562275856713, 'batch_size': 64}. Best is trial 26 with value: 21.03031085049643.
Trial 70 finished with value: 10230.305678214365 and parameters: {'input_dropout': 0.1, 'hidden_layers': 10, 'hidden_units': 192, 'kernel_initializer': 'he_uniform', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.0, 'batch_norm': 'on', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.0003702519031372793, 'batch_size': 128}. Best is trial 26 with value: 21.03031085049643.
Trial 71 finished with value: 166.7386210754437 and parameters: {'input_dropout': 0.2, 'hidden_layers': 3, 'hidden_units': 256, 'kernel_initializer': 'random_normal', 'hidden_activation': 'leaky_relu', 'hidden_dropout': 0.1, 'batch_norm': 'off', 'optimizer_type': 'rmsprop', 'optimizer_lr': 0.000986915497082148, 'batch_size': 96}. Best is trial 26 with value: 21.03031085049643.
