A new study created in RDB with name: XGBRegressor_6531
Trial 17 finished with value: 0.4467439670228604 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.8869700038235654, 'subsample': 0.012102099265793198, 'colsample_bytree': 0.4559829485685656, 'learning_rate': 0.851666569233345, 'reg_alpha': 0.0009398634107741563, 'reg_lambda': 2.1210423643248144}. Best is trial 17 with value: 0.4467439670228604.
Trial 18 finished with value: 0.7327199387085745 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.8467516964762747, 'subsample': 0.8782316788503789, 'colsample_bytree': 0.472452147314377, 'learning_rate': 0.6510720104929864, 'reg_alpha': 0.001128474277796868, 'reg_lambda': 4.664759604024475}. Best is trial 25 with value: 0.8003895581540361.
Trial 16 finished with value: 0.4923210515389149 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.4240586380824689, 'subsample': 0.2752843986035566, 'colsample_bytree': 0.6609906452048006, 'learning_rate': 0.5618618685291134, 'reg_alpha': 0.44538441603201717, 'reg_lambda': 0.0003057010708280548}. Best is trial 25 with value: 0.8003895581540361.
Trial 8 finished with value: 0.6823563029755519 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.003757853500602759, 'subsample': 0.417610734455901, 'colsample_bytree': 0.18274379884820635, 'learning_rate': 0.7949519126440255, 'reg_alpha': 1.134238181048048, 'reg_lambda': 2.164767082910211}. Best is trial 25 with value: 0.8003895581540361.
Trial 20 finished with value: 0.7836173152603646 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.690850692181831, 'subsample': 0.5352138559283367, 'colsample_bytree': 0.11833666261512221, 'learning_rate': 0.23226047448498288, 'reg_alpha': 0.00016504618637636203, 'reg_lambda': 0.012483438510660127}. Best is trial 25 with value: 0.8003895581540361.
Trial 29 finished with value: 0.7527453277704382 and parameters: {'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.5259642950666291, 'subsample': 0.3675526920127725, 'colsample_bytree': 0.6973036432960458, 'learning_rate': 0.5046183800459768, 'reg_alpha': 0.00028807283399892315, 'reg_lambda': 1.6626785482452633}. Best is trial 25 with value: 0.8003895581540361.
Trial 23 finished with value: 0.577505448175492 and parameters: {'max_depth': 4, 'min_child_weight': 2, 'gamma': 0.17812755823844395, 'subsample': 0.8708790059217557, 'colsample_bytree': 0.7474059487869196, 'learning_rate': 0.3469905376848539, 'reg_alpha': 0.000774418975588634, 'reg_lambda': 0.00900450416572624}. Best is trial 25 with value: 0.8003895581540361.
Trial 10 finished with value: -1.6750414814303487 and parameters: {'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.5631079549974312, 'subsample': 0.09629106428340517, 'colsample_bytree': 0.8103337854938254, 'learning_rate': 0.5508292901255483, 'reg_alpha': 0.2463480887790813, 'reg_lambda': 1.135967490736318}. Best is trial 25 with value: 0.8003895581540361.
Trial 30 finished with value: 0.7609811841350819 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.21997658358230388, 'subsample': 0.2548388023626148, 'colsample_bytree': 0.09184211730671676, 'learning_rate': 0.45590267917610294, 'reg_alpha': 1.3322627922793702, 'reg_lambda': 0.0008479109920383514}. Best is trial 25 with value: 0.8003895581540361.
Trial 31 finished with value: 0.7391251018507736 and parameters: {'max_depth': 2, 'min_child_weight': 3, 'gamma': 0.8837061122646706, 'subsample': 0.9430270300891297, 'colsample_bytree': 0.017302375694047245, 'learning_rate': 0.6057684770638754, 'reg_alpha': 0.00020747252164359385, 'reg_lambda': 0.04648202123407589}. Best is trial 25 with value: 0.8003895581540361.
Trial 26 finished with value: 0.7996832637334703 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.4872858417517748, 'subsample': 0.6577995422617577, 'colsample_bytree': 0.2959994742932389, 'learning_rate': 0.10810305807506981, 'reg_alpha': 0.08732025501029256, 'reg_lambda': 6.446858633668373}. Best is trial 25 with value: 0.8003895581540361.
Trial 33 finished with value: 0.7330074293661576 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.9730909715210985, 'subsample': 0.5087346629721856, 'colsample_bytree': 0.06835348412214826, 'learning_rate': 0.31361156598143414, 'reg_alpha': 0.028461034676581832, 'reg_lambda': 0.024962600464696654}. Best is trial 25 with value: 0.8003895581540361.
Trial 36 finished with value: -9.120933756034127 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.6495281874726768, 'subsample': 0.07144176164104743, 'colsample_bytree': 0.6465677849189867, 'learning_rate': 0.818465496845473, 'reg_alpha': 0.7572261528910254, 'reg_lambda': 1.831841672770267}. Best is trial 25 with value: 0.8003895581540361.
Trial 34 finished with value: 0.3542143518600181 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.3218834150539628, 'subsample': 0.2337891516568088, 'colsample_bytree': 0.41089837563830145, 'learning_rate': 0.9055252129932354, 'reg_alpha': 0.000564991772198664, 'reg_lambda': 2.8142218976150257}. Best is trial 25 with value: 0.8003895581540361.
Trial 32 finished with value: 0.7301479815000084 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.08077603636541342, 'subsample': 0.1839196032403243, 'colsample_bytree': 0.06671180190838533, 'learning_rate': 0.25816379086445784, 'reg_alpha': 0.17325958471741107, 'reg_lambda': 0.14231188405546857}. Best is trial 25 with value: 0.8003895581540361.
Trial 9 finished with value: 0.6820739912059117 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.9781807973101712, 'subsample': 0.9118917196796542, 'colsample_bytree': 0.2695363001466281, 'learning_rate': 0.31488653173124015, 'reg_alpha': 0.007170238315804351, 'reg_lambda': 5.303172873226408}. Best is trial 25 with value: 0.8003895581540361.
Trial 27 finished with value: 0.8100560858267242 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.8401074291113032, 'subsample': 0.6042569412419981, 'colsample_bytree': 0.4985887355459768, 'learning_rate': 0.018132674140997618, 'reg_alpha': 0.012069109001135262, 'reg_lambda': 0.11339271589283727}. Best is trial 27 with value: 0.8100560858267242.
Trial 22 finished with value: 0.38616992238073916 and parameters: {'max_depth': 10, 'min_child_weight': 5, 'gamma': 0.16723500088196808, 'subsample': 0.3112184267605701, 'colsample_bytree': 0.8159075944183231, 'learning_rate': 0.5738347641255652, 'reg_alpha': 0.686618288765384, 'reg_lambda': 0.00019715503150478526}. Best is trial 27 with value: 0.8100560858267242.
Trial 3 finished with value: -13.630059404638365 and parameters: {'max_depth': 8, 'min_child_weight': 5, 'gamma': 0.342909330628704, 'subsample': 0.36217570084278716, 'colsample_bytree': 0.671672751755051, 'learning_rate': 0.9707167292481114, 'reg_alpha': 0.0010178226445942066, 'reg_lambda': 0.07931062368130075}. Best is trial 27 with value: 0.8100560858267242.
Trial 28 finished with value: -0.2593466984315678 and parameters: {'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.6943839227674766, 'subsample': 0.22728081835379788, 'colsample_bytree': 0.24193583762797632, 'learning_rate': 0.7462345690250706, 'reg_alpha': 0.1050781533367055, 'reg_lambda': 0.2943049807668198}. Best is trial 27 with value: 0.8100560858267242.
Trial 43 finished with value: 0.7255122740476085 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.2651335678370855, 'subsample': 0.5600904535873021, 'colsample_bytree': 0.07321996160423638, 'learning_rate': 0.9172296876922745, 'reg_alpha': 4.705661195277183, 'reg_lambda': 2.226514351658875}. Best is trial 27 with value: 0.8100560858267242.
Trial 1 finished with value: 0.2946766557635726 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.9659779484730802, 'subsample': 0.5907854880033393, 'colsample_bytree': 0.29206289153908005, 'learning_rate': 0.9726797221913702, 'reg_alpha': 0.803375472755823, 'reg_lambda': 0.005338827099546976}. Best is trial 27 with value: 0.8100560858267242.
Trial 37 finished with value: 0.8147043883985973 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'gamma': 0.8237413537122318, 'subsample': 0.17604465713997264, 'colsample_bytree': 0.2714697835634897, 'learning_rate': 0.04713842057524753, 'reg_alpha': 0.00010536312428749543, 'reg_lambda': 0.01789313124643348}. Best is trial 37 with value: 0.8147043883985973.
Trial 13 finished with value: 0.5679672373625777 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.18213657160166552, 'subsample': 0.8235290525024922, 'colsample_bytree': 0.648910651779757, 'learning_rate': 0.5099955891911734, 'reg_alpha': 0.015859072593358326, 'reg_lambda': 0.0012600516547437378}. Best is trial 37 with value: 0.8147043883985973.
Trial 35 finished with value: 0.6017125276306905 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.22676945238722002, 'subsample': 0.5834993786929225, 'colsample_bytree': 0.41636962585450743, 'learning_rate': 0.4916728177220796, 'reg_alpha': 2.4372769596416446, 'reg_lambda': 0.00042241612760728124}. Best is trial 37 with value: 0.8147043883985973.
Trial 19 finished with value: 0.7450304625519666 and parameters: {'max_depth': 10, 'min_child_weight': 4, 'gamma': 0.8310132534500707, 'subsample': 0.6764274478852313, 'colsample_bytree': 0.38731405370548333, 'learning_rate': 0.059109622791294836, 'reg_alpha': 0.13108357279368613, 'reg_lambda': 0.0001807599229797331}. Best is trial 37 with value: 0.8147043883985973.
Trial 49 finished with value: 0.7944699932866 and parameters: {'max_depth': 2, 'min_child_weight': 5, 'gamma': 0.20442988773420934, 'subsample': 0.8923901859938125, 'colsample_bytree': 0.2359388325659183, 'learning_rate': 0.46814958726480127, 'reg_alpha': 0.003007527432861333, 'reg_lambda': 0.00287218796324617}. Best is trial 37 with value: 0.8147043883985973.
Trial 45 finished with value: 0.40995675968399625 and parameters: {'max_depth': 3, 'min_child_weight': 2, 'gamma': 0.2374437218008717, 'subsample': 0.30493641667377325, 'colsample_bytree': 0.8274389579124876, 'learning_rate': 0.5937946602670995, 'reg_alpha': 0.00014475026641810204, 'reg_lambda': 0.06978920471217578}. Best is trial 37 with value: 0.8147043883985973.
Trial 47 finished with value: 0.7585333567011594 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'gamma': 0.65653366352098, 'subsample': 0.7078141264847749, 'colsample_bytree': 0.4480304812360063, 'learning_rate': 0.4722649667027008, 'reg_alpha': 0.008830814953396448, 'reg_lambda': 0.4478352130891713}. Best is trial 37 with value: 0.8147043883985973.
Trial 53 finished with value: 0.783460825711188 and parameters: {'max_depth': 2, 'min_child_weight': 4, 'gamma': 0.6286378542702571, 'subsample': 0.5896881503030622, 'colsample_bytree': 0.15698004219544448, 'learning_rate': 0.6567022802364685, 'reg_alpha': 0.00010585472396364628, 'reg_lambda': 9.619963669733352}. Best is trial 37 with value: 0.8147043883985973.
Trial 46 finished with value: 0.7368633399517458 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.18897510667101436, 'subsample': 0.7962860671303137, 'colsample_bytree': 0.08306955226824264, 'learning_rate': 0.2884207906401518, 'reg_alpha': 0.09613745349396, 'reg_lambda': 0.16347469570577078}. Best is trial 37 with value: 0.8147043883985973.
Trial 38 finished with value: 0.714426882155425 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.752559918664575, 'subsample': 0.8172570948615234, 'colsample_bytree': 0.14745903463819, 'learning_rate': 0.9515000429439863, 'reg_alpha': 0.0008857408910152536, 'reg_lambda': 9.172588139924594}. Best is trial 37 with value: 0.8147043883985973.
Trial 55 finished with value: 0.790274548441771 and parameters: {'max_depth': 2, 'min_child_weight': 2, 'gamma': 0.00706012061390493, 'subsample': 0.18312612393982675, 'colsample_bytree': 0.5271147995840681, 'learning_rate': 0.1759999706963865, 'reg_alpha': 0.00412464283928991, 'reg_lambda': 0.2058331629294507}. Best is trial 37 with value: 0.8147043883985973.
Trial 62 finished with value: 0.7054504026696916 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.10272837123881984, 'subsample': 0.3094189179720501, 'colsample_bytree': 0.16110109670968797, 'learning_rate': 0.9472629751297658, 'reg_alpha': 0.04764899485857311, 'reg_lambda': 0.0012665314658715887}. Best is trial 37 with value: 0.8147043883985973.
Trial 21 finished with value: 0.7061380079068328 and parameters: {'max_depth': 9, 'min_child_weight': 3, 'gamma': 0.1682506923612559, 'subsample': 0.9730425751322221, 'colsample_bytree': 0.5616158443586599, 'learning_rate': 0.24073225647509433, 'reg_alpha': 0.023501555206107444, 'reg_lambda': 0.00018160112523691555}. Best is trial 37 with value: 0.8147043883985973.
Trial 65 finished with value: 0.4815999380666792 and parameters: {'max_depth': 1, 'min_child_weight': 2, 'gamma': 0.08956168010957821, 'subsample': 0.050870477592441454, 'colsample_bytree': 0.7449038477368093, 'learning_rate': 0.7446725044912185, 'reg_alpha': 0.0036213504593651806, 'reg_lambda': 0.005531058414238055}. Best is trial 37 with value: 0.8147043883985973.
Trial 40 finished with value: 0.5116135513248856 and parameters: {'max_depth': 6, 'min_child_weight': 4, 'gamma': 0.9115658386565566, 'subsample': 0.8272882936723545, 'colsample_bytree': 0.405532284582824, 'learning_rate': 0.5698664221360814, 'reg_alpha': 0.00010180195650494763, 'reg_lambda': 0.1261327441558182}. Best is trial 37 with value: 0.8147043883985973.
Trial 58 finished with value: 0.626232907718529 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.6892761640281947, 'subsample': 0.3840594391396833, 'colsample_bytree': 0.4961876977470697, 'learning_rate': 0.6968281829822769, 'reg_alpha': 0.005951363013170434, 'reg_lambda': 0.00342905277150481}. Best is trial 37 with value: 0.8147043883985973.
Trial 12 finished with value: 0.7613249044032077 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.5694853338702094, 'subsample': 0.9284982649106781, 'colsample_bytree': 0.9675163141042831, 'learning_rate': 0.6424874327131491, 'reg_alpha': 0.0013556760867582257, 'reg_lambda': 2.4857673523742325}. Best is trial 37 with value: 0.8147043883985973.
Trial 68 finished with value: 0.7308498669856999 and parameters: {'max_depth': 1, 'min_child_weight': 3, 'gamma': 0.911843144592333, 'subsample': 0.2526376322559172, 'colsample_bytree': 0.9480383102887109, 'learning_rate': 0.2790153226861677, 'reg_alpha': 0.0009050741864284113, 'reg_lambda': 1.167764709077905}. Best is trial 37 with value: 0.8147043883985973.
Trial 39 finished with value: 0.621713319162769 and parameters: {'max_depth': 8, 'min_child_weight': 2, 'gamma': 0.2933822321032742, 'subsample': 0.5630020689817657, 'colsample_bytree': 0.7829185681039648, 'learning_rate': 0.6304699943264344, 'reg_alpha': 2.097955744681789, 'reg_lambda': 0.13804903831636828}. Best is trial 37 with value: 0.8147043883985973.
Trial 44 finished with value: 0.49991265457416256 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.6070742317302321, 'subsample': 0.6350076609081365, 'colsample_bytree': 0.312009162778198, 'learning_rate': 0.4673030565186398, 'reg_alpha': 0.0646991598941629, 'reg_lambda': 0.015338819438689545}. Best is trial 37 with value: 0.8147043883985973.
Trial 50 finished with value: 0.4428865671620084 and parameters: {'max_depth': 5, 'min_child_weight': 2, 'gamma': 0.07266775263284853, 'subsample': 0.8090890243104726, 'colsample_bytree': 0.497170440814663, 'learning_rate': 0.7939645325364068, 'reg_alpha': 0.012748139442475392, 'reg_lambda': 0.0002487795302616165}. Best is trial 37 with value: 0.8147043883985973.
Trial 48 finished with value: 0.5456359059425006 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.8803160025493338, 'subsample': 0.4584441860998, 'colsample_bytree': 0.39620640669562446, 'learning_rate': 0.6809326890314327, 'reg_alpha': 4.242146828794124, 'reg_lambda': 0.7635549624185752}. Best is trial 37 with value: 0.8147043883985973.
Trial 69 finished with value: 0.7988601153166947 and parameters: {'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.2848373360396165, 'subsample': 0.6476222544185093, 'colsample_bytree': 0.23931860700594665, 'learning_rate': 0.3205841129052929, 'reg_alpha': 0.00017784183130362227, 'reg_lambda': 0.000724360861400534}. Best is trial 37 with value: 0.8147043883985973.
Trial 67 finished with value: -433273530.8671242 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'gamma': 0.522582592452199, 'subsample': 0.03624275682884914, 'colsample_bytree': 0.8587988106326157, 'learning_rate': 0.5421162045207879, 'reg_alpha': 0.1459151087182983, 'reg_lambda': 0.2080740451286288}. Best is trial 37 with value: 0.8147043883985973.
Trial 54 finished with value: -1601.823576570454 and parameters: {'max_depth': 6, 'min_child_weight': 2, 'gamma': 0.2827374629050402, 'subsample': 0.08579311682139834, 'colsample_bytree': 0.4221925516966393, 'learning_rate': 0.5256363970728244, 'reg_alpha': 0.0026299695184337267, 'reg_lambda': 0.0007653657435786732}. Best is trial 37 with value: 0.8147043883985973.
Trial 51 finished with value: -0.07045319857139294 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.40827326800535113, 'subsample': 0.19021727697850233, 'colsample_bytree': 0.1944122493817273, 'learning_rate': 0.6065684007047117, 'reg_alpha': 0.0017211662939740093, 'reg_lambda': 0.054519669444490396}. Best is trial 37 with value: 0.8147043883985973.
Trial 61 finished with value: 0.7367049745900289 and parameters: {'max_depth': 9, 'min_child_weight': 1, 'gamma': 0.9307458205936051, 'subsample': 0.50572197045601, 'colsample_bytree': 0.026943587528142854, 'learning_rate': 0.1458848406869313, 'reg_alpha': 0.025402021850771145, 'reg_lambda': 0.002894076156604009}. Best is trial 37 with value: 0.8147043883985973.
Trial 41 finished with value: 0.7316949738400255 and parameters: {'max_depth': 7, 'min_child_weight': 2, 'gamma': 0.9250032036644027, 'subsample': 0.8380485448520933, 'colsample_bytree': 0.672955802752317, 'learning_rate': 0.048636261853648, 'reg_alpha': 1.2528337236965492, 'reg_lambda': 0.00027998278524268757}. Best is trial 37 with value: 0.8147043883985973.
Trial 66 finished with value: -7.319353955210701 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'gamma': 0.4638999326015506, 'subsample': 0.3014902183205317, 'colsample_bytree': 0.8704489928162048, 'learning_rate': 0.9476267810622532, 'reg_alpha': 0.0005434234329905529, 'reg_lambda': 0.08579699575084199}. Best is trial 37 with value: 0.8147043883985973.
Trial 42 finished with value: 0.6583368616149787 and parameters: {'max_depth': 10, 'min_child_weight': 4, 'gamma': 0.19815947972771786, 'subsample': 0.47869265878655476, 'colsample_bytree': 0.370437912892537, 'learning_rate': 0.22919875101484388, 'reg_alpha': 0.008063505929972134, 'reg_lambda': 0.03429950560337914}. Best is trial 37 with value: 0.8147043883985973.
Trial 63 finished with value: 0.7433749546980565 and parameters: {'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.7542081474692213, 'subsample': 0.40676258511641106, 'colsample_bytree': 0.3858730141210681, 'learning_rate': 0.2872609063523417, 'reg_alpha': 8.443757464718846, 'reg_lambda': 0.00048007524123698617}. Best is trial 37 with value: 0.8147043883985973.
Trial 70 finished with value: 0.7876317327236229 and parameters: {'max_depth': 4, 'min_child_weight': 4, 'gamma': 0.06448387884117301, 'subsample': 0.5567679212156563, 'colsample_bytree': 0.9334215158906508, 'learning_rate': 0.03961347658467462, 'reg_alpha': 0.014264804947661093, 'reg_lambda': 1.7367502163699404}. Best is trial 37 with value: 0.8147043883985973.
Trial 57 finished with value: -1.210210749346751 and parameters: {'max_depth': 9, 'min_child_weight': 4, 'gamma': 0.07048341716918793, 'subsample': 0.34452558116159626, 'colsample_bytree': 0.6155234561732544, 'learning_rate': 0.9728234893335019, 'reg_alpha': 0.008881093803073508, 'reg_lambda': 1.0802784809518353}. Best is trial 37 with value: 0.8147043883985973.
Trial 60 finished with value: 0.7612982845054759 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'gamma': 0.4428334015665202, 'subsample': 0.9496946972847936, 'colsample_bytree': 0.3350009856056987, 'learning_rate': 0.04940792646251879, 'reg_alpha': 0.9220342781341975, 'reg_lambda': 0.2999291310914226}. Best is trial 37 with value: 0.8147043883985973.
Trial 64 finished with value: 0.6643403006130933 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'gamma': 0.9703408102750087, 'subsample': 0.2961501339545469, 'colsample_bytree': 0.37188803636456447, 'learning_rate': 0.3785008741915288, 'reg_alpha': 0.017485744908044124, 'reg_lambda': 0.007146813636934416}. Best is trial 37 with value: 0.8147043883985973.
Trial 52 finished with value: 0.7106287939538856 and parameters: {'max_depth': 9, 'min_child_weight': 2, 'gamma': 0.3250911643391887, 'subsample': 0.318172889815555, 'colsample_bytree': 0.378125326396453, 'learning_rate': 0.10331685480170016, 'reg_alpha': 0.03508692547304991, 'reg_lambda': 0.00998059429556231}. Best is trial 37 with value: 0.8147043883985973.
Trial 77 finished with value: 0.7883964305431224 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.07944249117235525, 'subsample': 0.7030216816435053, 'colsample_bytree': 0.12494964124270824, 'learning_rate': 0.20089694354804288, 'reg_alpha': 0.005494237942260741, 'reg_lambda': 0.005569394232242371}. Best is trial 37 with value: 0.8147043883985973.
Trial 71 finished with value: 0.6607782557807026 and parameters: {'max_depth': 5, 'min_child_weight': 4, 'gamma': 0.8482432968477723, 'subsample': 0.36172747059893984, 'colsample_bytree': 0.37950113135702357, 'learning_rate': 0.3781059412580954, 'reg_alpha': 0.0002564117474233536, 'reg_lambda': 0.4404551197287921}. Best is trial 37 with value: 0.8147043883985973.
Trial 81 finished with value: 0.7408696743383962 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.7138437592156125, 'subsample': 0.4842487213241421, 'colsample_bytree': 0.09443428458079994, 'learning_rate': 0.7203680014330528, 'reg_alpha': 3.2555229879181002, 'reg_lambda': 0.0004941955359782541}. Best is trial 37 with value: 0.8147043883985973.
Trial 83 finished with value: 0.685340602672467 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'gamma': 0.9725333137291692, 'subsample': 0.18245149787235326, 'colsample_bytree': 0.017257228877103015, 'learning_rate': 0.8884875883349413, 'reg_alpha': 0.1120807903573753, 'reg_lambda': 2.0481077314533116}. Best is trial 37 with value: 0.8147043883985973.
Trial 72 finished with value: 0.8052203827407182 and parameters: {'max_depth': 6, 'min_child_weight': 1, 'gamma': 0.08962160357502225, 'subsample': 0.4467201776638884, 'colsample_bytree': 0.2290664800991049, 'learning_rate': 0.05340655255107207, 'reg_alpha': 1.1373484976512738, 'reg_lambda': 4.243693671475633}. Best is trial 37 with value: 0.8147043883985973.
Trial 78 finished with value: 0.47147328448288794 and parameters: {'max_depth': 4, 'min_child_weight': 5, 'gamma': 0.4344990545826113, 'subsample': 0.9045630151409656, 'colsample_bytree': 0.826390748091373, 'learning_rate': 0.7741246725958834, 'reg_alpha': 0.9213741349096211, 'reg_lambda': 0.02419478458255866}. Best is trial 37 with value: 0.8147043883985973.
Trial 84 finished with value: 0.774668258460929 and parameters: {'max_depth': 4, 'min_child_weight': 3, 'gamma': 0.11001907319706772, 'subsample': 0.43027013574251216, 'colsample_bytree': 0.20785316152856215, 'learning_rate': 0.221559201261473, 'reg_alpha': 0.13366544234947916, 'reg_lambda': 0.0006961814246224545}. Best is trial 37 with value: 0.8147043883985973.
Trial 89 finished with value: 0.7354445921702517 and parameters: {'max_depth': 1, 'min_child_weight': 5, 'gamma': 0.06567321793863035, 'subsample': 0.8889025763086273, 'colsample_bytree': 0.9800510887323475, 'learning_rate': 0.53797118347225, 'reg_alpha': 0.0404385960498762, 'reg_lambda': 0.019226343562033246}. Best is trial 37 with value: 0.8147043883985973.
